Rule ID,Property,Question,Answer,Action,Reason shown to the guest,Owner verdict (keep / change / remove),Comment
R384,Ferry View,Must have,The dog comes too,+10,Dogs welcome,,
R385,Ferry View,Must have,A mooring for our boat,+10,A mooring at the property,,
R386,Ferry View,Must have,Everything on one level,-8,,,
R387,Ferry View,Must have,A hot tub,-2,,,
R388,Ferry View,Must have,A river view,+8,On the main river,,
R389,Ferry View,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R390,Ferry View,Your time,Out on the water,+3,Straight out onto the main river,,
R391,Ferry View,Your time,Fishing,+8,Fishing from the garden or close by,,
R392,Ferry View,Your time,Fishing,+3,Right on the water,,
R393,Ferry View,Your time,Walking and wildlife,+2,A garden to come back to,,
R394,Ferry View,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R395,Ferry View,Your time,"Pubs, villages and days out",+3,Horning's pubs and river frontage,,
R396,Ferry View,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R397,Ferry View,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R398,Ferry View,Your time,Doing very little,+3,A garden to yourselves,,
R399,Ferry View,Where,Wroxham and Hoveton,-5,,,
R400,Ferry View,Where,Horning,+8,"In Horning, where you asked",,
R401,Ferry View,Where,Potter Heigham and the Thurne,-5,,,
R402,Ferry View,Where,"Reedham, Brundall and the Yare",-5,,,
R403,Ferry View,Where,Somewhere quiet and rural,-5,,,
R404,Ferryman Cottage,How many,3 or 4,+2,"Sleeps 6, with a bed or two spare",,
R405,Ferryman Cottage,How many,5 or 6,+6,"Sleeps 6, the right size for your party",,
R406,Ferryman Cottage,How many,7 or 8,EXCLUDE,"Sleeps 6, not enough beds for 7 to 8",,
R407,Ferryman Cottage,How many,9 to 12,EXCLUDE,"Sleeps 6, not enough beds for 9 to 12",,
R408,Ferryman Cottage,How many,13 or more,EXCLUDE,"Sleeps 6, not enough beds for 13 or more",,
R409,Ferryman Cottage,Who's coming,Just me,-4,,,
R410,Ferryman Cottage,Who's coming,Family with children,+4,Set up for families,,
R411,Ferryman Cottage,Who's coming,Family with children,+2,A garden for the children,,
R412,Ferryman Cottage,Must have,The dog comes too,EXCLUDE,Doesn't take pets,,
R413,Ferryman Cottage,Must have,A mooring for our boat,+10,A mooring at the property,,
R414,Ferryman Cottage,Must have,Everything on one level,+10,Everything on one level,,
R415,Ferryman Cottage,Must have,A hot tub,-2,,,
R416,Ferryman Cottage,Must have,A river view,+8,On the main river,,
R417,Ferryman Cottage,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R418,Ferryman Cottage,Your time,Out on the water,+3,Straight out onto the main river,,
R419,Ferryman Cottage,Your time,Fishing,+8,Fishing from the garden or close by,,
R420,Ferryman Cottage,Your time,Fishing,+3,Right on the water,,
R421,Ferryman Cottage,Your time,Walking and wildlife,+2,A garden to come back to,,
R422,Ferryman Cottage,Your time,"Pubs, villages and days out",+3,Horning's pubs and river frontage,,
R423,Ferryman Cottage,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R424,Ferryman Cottage,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R425,Ferryman Cottage,Your time,Doing very little,+3,A garden to yourselves,,
R426,Ferryman Cottage,Where,Wroxham and Hoveton,-5,,,
R427,Ferryman Cottage,Where,Horning,+8,"In Horning, where you asked",,
R428,Ferryman Cottage,Where,Potter Heigham and the Thurne,-5,,,
R429,Ferryman Cottage,Where,"Reedham, Brundall and the Yare",-5,,,
R430,Ferryman Cottage,Where,Somewhere quiet and rural,-5,,,
R431,Heron Cottage,How many,3 or 4,+2,"Sleeps 6, with a bed or two spare",,
R432,Heron Cottage,How many,5 or 6,+6,"Sleeps 6, the right size for your party",,
R433,Heron Cottage,How many,7 or 8,EXCLUDE,"Sleeps 6, not enough beds for 7 to 8",,
R434,Heron Cottage,How many,9 to 12,EXCLUDE,"Sleeps 6, not enough beds for 9 to 12",,
R435,Heron Cottage,How many,13 or more,EXCLUDE,"Sleeps 6, not enough beds for 13 or more",,
R436,Heron Cottage,Who's coming,Just me,-4,,,
R437,Heron Cottage,Who's coming,Family with children,+2,A garden for the children,,
R438,Heron Cottage,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R439,Heron Cottage,Must have,The dog comes too,EXCLUDE,Doesn't take pets,,
R440,Heron Cottage,Must have,A mooring for our boat,+10,A mooring at the property,,
R441,Heron Cottage,Must have,Everything on one level,+10,Everything on one level,,
R442,Heron Cottage,Must have,A hot tub,-2,,,
R443,Heron Cottage,Must have,A river view,+4,Right by the water,,
R444,Heron Cottage,Your time,Out on the water,+8,A day boat comes with the cottage,,
R445,Heron Cottage,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R446,Heron Cottage,Your time,Fishing,+8,Fishing from the garden or close by,,
R447,Heron Cottage,Your time,Fishing,+3,Right on the water,,
R448,Heron Cottage,Your time,Walking and wildlife,+2,A garden to come back to,,
R449,Heron Cottage,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R450,Heron Cottage,Your time,"Pubs, villages and days out",+3,Horning's pubs and river frontage,,
R451,Heron Cottage,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R452,Heron Cottage,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R453,Heron Cottage,Your time,Doing very little,+3,A garden to yourselves,,
R454,Heron Cottage,Your time,Doing very little,-2,,,
R455,Heron Cottage,Where,Wroxham and Hoveton,-5,,,
R456,Heron Cottage,Where,Horning,+8,"In Horning, where you asked",,
R457,Heron Cottage,Where,Potter Heigham and the Thurne,-5,,,
R458,Heron Cottage,Where,"Reedham, Brundall and the Yare",-5,,,
R459,Heron Cottage,Where,Somewhere quiet and rural,-5,,,
R460,High Meadow,How many,3 or 4,-12,,,
R461,High Meadow,How many,5 or 6,+2,"Sleeps 8, with a bed or two spare",,
R462,High Meadow,How many,7 or 8,+6,"Sleeps 8, the right size for your party",,
R463,High Meadow,How many,9 to 12,EXCLUDE,"Sleeps 8, not enough beds for 9 to 12",,
R464,High Meadow,How many,13 or more,EXCLUDE,"Sleeps 8, not enough beds for 13 or more",,
R465,High Meadow,Who's coming,Just the two of us,-6,,,
R466,High Meadow,Who's coming,Just me,-4,,,
R467,High Meadow,Who's coming,Family with children,+4,Set up for families,,
R468,High Meadow,Who's coming,Family with children,+2,A garden for the children,,
R469,High Meadow,Who's coming,A big get-together,+6,Room for a big get-together,,
R470,High Meadow,Must have,The dog comes too,EXCLUDE,Doesn't take pets,,
R471,High Meadow,Must have,A mooring for our boat,+10,A mooring at the property,,
R472,High Meadow,Must have,Everything on one level,-8,,,
R473,High Meadow,Must have,A hot tub,-2,,,
R474,High Meadow,Must have,A river view,+8,On the main river,,
R475,High Meadow,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R476,High Meadow,Your time,Out on the water,+3,Straight out onto the main river,,
R477,High Meadow,Your time,Fishing,+8,Fishing from the garden or close by,,
R478,High Meadow,Your time,Fishing,+3,Right on the water,,
R479,High Meadow,Your time,Walking and wildlife,+6,"Quiet, with walks from the door",,
R480,High Meadow,Your time,Walking and wildlife,+2,A garden to come back to,,
R481,High Meadow,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R482,High Meadow,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R483,High Meadow,Your time,Doing very little,+3,A garden to yourselves,,
R484,High Meadow,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R485,High Meadow,Where,Horning,-5,,,
R486,High Meadow,Where,Potter Heigham and the Thurne,-5,,,
R487,High Meadow,Where,"Reedham, Brundall and the Yare",-5,,,
R488,High Meadow,Where,Somewhere quiet and rural,+8,"In the quieter villages, where you asked",,
R489,Holkham Cottage,How many,3 or 4,+6,"Sleeps 4, the right size for your party",,
R490,Holkham Cottage,How many,5 or 6,EXCLUDE,"Sleeps 4, not enough beds for 5 to 6",,
R491,Holkham Cottage,How many,7 or 8,EXCLUDE,"Sleeps 4, not enough beds for 7 to 8",,
R492,Holkham Cottage,How many,9 to 12,EXCLUDE,"Sleeps 4, not enough beds for 9 to 12",,
R493,Holkham Cottage,How many,13 or more,EXCLUDE,"Sleeps 4, not enough beds for 13 or more",,
R494,Holkham Cottage,Who's coming,Just the two of us,+4,A cottage sized for a couple,,
R495,Holkham Cottage,Who's coming,Just me,+5,Small enough to feel like your own,,
R496,Holkham Cottage,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R497,Holkham Cottage,Who's coming,A big get-together,-6,,,
R498,Holkham Cottage,Must have,The dog comes too,+10,Dogs welcome,,
R499,Holkham Cottage,Must have,A mooring for our boat,+10,A mooring at the property,,
R500,Holkham Cottage,Must have,Everything on one level,-8,,,
R501,Holkham Cottage,Must have,A hot tub,-2,,,
R502,Holkham Cottage,Must have,A river view,+8,On the main river,,
R503,Holkham Cottage,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R504,Holkham Cottage,Your time,Out on the water,+3,Straight out onto the main river,,
R505,Holkham Cottage,Your time,Fishing,+8,Fishing from the garden or close by,,
R506,Holkham Cottage,Your time,Fishing,+3,Right on the water,,
R507,Holkham Cottage,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R508,Holkham Cottage,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R509,Holkham Cottage,Your time,"Pubs, villages and days out",+3,Wroxham's shops and boatyards close by,,
R510,Holkham Cottage,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R511,Holkham Cottage,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R512,Holkham Cottage,Your time,Doing very little,-2,,,
R513,Holkham Cottage,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R514,Holkham Cottage,Where,Horning,-5,,,
R515,Holkham Cottage,Where,Potter Heigham and the Thurne,-5,,,
R516,Holkham Cottage,Where,"Reedham, Brundall and the Yare",-5,,,
R517,Holkham Cottage,Where,Somewhere quiet and rural,-5,,,
R518,Kingfisher Lodge,How many,3 or 4,+2,"Sleeps 6, with a bed or two spare",,
R519,Kingfisher Lodge,How many,5 or 6,+6,"Sleeps 6, the right size for your party",,
R520,Kingfisher Lodge,How many,7 or 8,EXCLUDE,"Sleeps 6, not enough beds for 7 to 8",,
R521,Kingfisher Lodge,How many,9 to 12,EXCLUDE,"Sleeps 6, not enough beds for 9 to 12",,
R522,Kingfisher Lodge,How many,13 or more,EXCLUDE,"Sleeps 6, not enough beds for 13 or more",,
R523,Kingfisher Lodge,Who's coming,Just me,-4,,,
R524,Kingfisher Lodge,Who's coming,Family with children,+4,Set up for families,,
R525,Kingfisher Lodge,Who's coming,Family with children,+2,A garden for the children,,
R526,Kingfisher Lodge,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R527,Kingfisher Lodge,Must have,The dog comes too,+10,Dogs welcome,,
R528,Kingfisher Lodge,Must have,A mooring for our boat,+10,A mooring at the property,,
R529,Kingfisher Lodge,Must have,Everything on one level,+10,Everything on one level,,
R530,Kingfisher Lodge,Must have,A hot tub,-2,,,
R531,Kingfisher Lodge,Must have,A river view,+4,Right by the water,,
R532,Kingfisher Lodge,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R533,Kingfisher Lodge,Your time,Fishing,+8,Fishing from the garden or close by,,
R534,Kingfisher Lodge,Your time,Fishing,+3,Right on the water,,
R535,Kingfisher Lodge,Your time,Walking and wildlife,+2,A garden to come back to,,
R536,Kingfisher Lodge,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R537,Kingfisher Lodge,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R538,Kingfisher Lodge,Your time,"Pubs, villages and days out",+3,Wroxham's shops and boatyards close by,,
R539,Kingfisher Lodge,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R540,Kingfisher Lodge,Your time,Doing very little,+3,A garden to yourselves,,
R541,Kingfisher Lodge,Your time,Doing very little,-2,,,
R542,Kingfisher Lodge,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R543,Kingfisher Lodge,Where,Horning,-5,,,
R544,Kingfisher Lodge,Where,Potter Heigham and the Thurne,-5,,,
R545,Kingfisher Lodge,Where,"Reedham, Brundall and the Yare",-5,,,
R546,Kingfisher Lodge,Where,Somewhere quiet and rural,-5,,,
R547,Marchesi,How many,3 or 4,+6,"Sleeps 4, the right size for your party",,
R548,Marchesi,How many,5 or 6,EXCLUDE,"Sleeps 4, not enough beds for 5 to 6",,
R549,Marchesi,How many,7 or 8,EXCLUDE,"Sleeps 4, not enough beds for 7 to 8",,
R550,Marchesi,How many,9 to 12,EXCLUDE,"Sleeps 4, not enough beds for 9 to 12",,
R551,Marchesi,How many,13 or more,EXCLUDE,"Sleeps 4, not enough beds for 13 or more",,
R552,Marchesi,Who's coming,Just the two of us,+4,A cottage sized for a couple,,
R553,Marchesi,Who's coming,Just me,+5,Small enough to feel like your own,,
R554,Marchesi,Who's coming,Family with children,+4,Set up for families,,
R555,Marchesi,Who's coming,Family with children,+2,A garden for the children,,
R556,Marchesi,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R557,Marchesi,Who's coming,A big get-together,-6,,,
R558,Marchesi,Must have,The dog comes too,EXCLUDE,Doesn't take pets,,
R559,Marchesi,Must have,A mooring for our boat,+10,A mooring at the property,,
R560,Marchesi,Must have,Everything on one level,-8,,,
R561,Marchesi,Must have,A hot tub,-2,,,
R562,Marchesi,Must have,A river view,+8,On the main river,,
R563,Marchesi,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R564,Marchesi,Your time,Out on the water,+3,Straight out onto the main river,,
R565,Marchesi,Your time,Fishing,+3,Right on the water,,
R566,Marchesi,Your time,Walking and wildlife,+2,A garden to come back to,,
R567,Marchesi,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R568,Marchesi,Your time,"Pubs, villages and days out",+3,Wroxham's shops and boatyards close by,,
R569,Marchesi,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R570,Marchesi,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R571,Marchesi,Your time,Doing very little,+3,A garden to yourselves,,
R572,Marchesi,Your time,Doing very little,-2,,,
R573,Marchesi,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R574,Marchesi,Where,Horning,-5,,,
R575,Marchesi,Where,Potter Heigham and the Thurne,-5,,,
R576,Marchesi,Where,"Reedham, Brundall and the Yare",-5,,,
R577,Marchesi,Where,Somewhere quiet and rural,-5,,,
R578,Margherita,How many,3 or 4,+6,"Sleeps 4, the right size for your party",,
R579,Margherita,How many,5 or 6,EXCLUDE,"Sleeps 4, not enough beds for 5 to 6",,
R580,Margherita,How many,7 or 8,EXCLUDE,"Sleeps 4, not enough beds for 7 to 8",,
R581,Margherita,How many,9 to 12,EXCLUDE,"Sleeps 4, not enough beds for 9 to 12",,
R582,Margherita,How many,13 or more,EXCLUDE,"Sleeps 4, not enough beds for 13 or more",,
R583,Margherita,Who's coming,Just the two of us,+4,A cottage sized for a couple,,
R584,Margherita,Who's coming,Just me,+5,Small enough to feel like your own,,
R585,Margherita,Who's coming,Family with children,+4,Set up for families,,
R586,Margherita,Who's coming,Family with children,+2,A garden for the children,,
R587,Margherita,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R588,Margherita,Who's coming,A big get-together,-6,,,
R589,Margherita,Must have,The dog comes too,EXCLUDE,Doesn't take pets,,
R590,Margherita,Must have,A mooring for our boat,+10,A mooring at the property,,
R591,Margherita,Must have,Everything on one level,-8,,,
R592,Margherita,Must have,A hot tub,-2,,,
R593,Margherita,Must have,A river view,+4,Right by the water,,
R594,Margherita,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R595,Margherita,Your time,Fishing,+8,Fishing from the garden or close by,,
R596,Margherita,Your time,Fishing,+3,Right on the water,,
R597,Margherita,Your time,Walking and wildlife,+2,A garden to come back to,,
R598,Margherita,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R599,Margherita,Your time,"Pubs, villages and days out",+3,Wroxham's shops and boatyards close by,,
R600,Margherita,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R601,Margherita,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R602,Margherita,Your time,Doing very little,+3,A garden to yourselves,,
R603,Margherita,Your time,Doing very little,-2,,,
R604,Margherita,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R605,Margherita,Where,Horning,-5,,,
R606,Margherita,Where,Potter Heigham and the Thurne,-5,,,
R607,Margherita,Where,"Reedham, Brundall and the Yare",-5,,,
R608,Margherita,Where,Somewhere quiet and rural,-5,,,
R609,Martham Mill,How many,3 or 4,+6,"Sleeps 4, the right size for your party",,
R610,Martham Mill,How many,5 or 6,EXCLUDE,"Sleeps 4, not enough beds for 5 to 6",,
R611,Martham Mill,How many,7 or 8,EXCLUDE,"Sleeps 4, not enough beds for 7 to 8",,
R612,Martham Mill,How many,9 to 12,EXCLUDE,"Sleeps 4, not enough beds for 9 to 12",,
R613,Martham Mill,How many,13 or more,EXCLUDE,"Sleeps 4, not enough beds for 13 or more",,
R614,Martham Mill,Who's coming,Just the two of us,+4,A cottage sized for a couple,,
R615,Martham Mill,Who's coming,Just me,+5,Small enough to feel like your own,,
R616,Martham Mill,Who's coming,A big get-together,-6,,,
R617,Martham Mill,Must have,The dog comes too,+10,Dogs welcome,,
R618,Martham Mill,Must have,A mooring for our boat,+10,A mooring at the property,,
R619,Martham Mill,Must have,Everything on one level,-8,,,
R620,Martham Mill,Must have,A hot tub,-2,,,
R621,Martham Mill,Must have,A river view,+8,On the main river,,
R622,Martham Mill,Your time,Out on the water,+8,A day boat comes with the cottage,,
R623,Martham Mill,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R624,Martham Mill,Your time,Out on the water,+3,Straight out onto the main river,,
R625,Martham Mill,Your time,Fishing,+8,Fishing from the garden or close by,,
R626,Martham Mill,Your time,Fishing,+3,Right on the water,,
R627,Martham Mill,Your time,Walking and wildlife,+6,"Quiet, with walks from the door",,
R628,Martham Mill,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R629,Martham Mill,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R630,Martham Mill,Where,Wroxham and Hoveton,-5,,,
R631,Martham Mill,Where,Horning,-5,,,
R632,Martham Mill,Where,Potter Heigham and the Thurne,+8,"In Potter Heigham and the Thurne, where you asked",,
R633,Martham Mill,Where,"Reedham, Brundall and the Yare",-5,,,
R634,Martham Mill,Where,Somewhere quiet and rural,+8,"In the quieter villages, where you asked",,
R635,Melrose,How many,3 or 4,+2,"Sleeps 6, with a bed or two spare",,
R636,Melrose,How many,5 or 6,+6,"Sleeps 6, the right size for your party",,
R637,Melrose,How many,7 or 8,EXCLUDE,"Sleeps 6, not enough beds for 7 to 8",,
R638,Melrose,How many,9 to 12,EXCLUDE,"Sleeps 6, not enough beds for 9 to 12",,
R639,Melrose,How many,13 or more,EXCLUDE,"Sleeps 6, not enough beds for 13 or more",,
R640,Melrose,Who's coming,Just me,-4,,,
R641,Melrose,Who's coming,Family with children,+4,Set up for families,,
R642,Melrose,Who's coming,Family with children,+2,A garden for the children,,
R643,Melrose,Must have,The dog comes too,+10,Dogs welcome,,
R644,Melrose,Must have,A mooring for our boat,+10,A mooring at the property,,
R645,Melrose,Must have,Everything on one level,+10,Everything on one level,,
R646,Melrose,Must have,A hot tub,-2,,,
R647,Melrose,Must have,A river view,+8,On the main river,,
R648,Melrose,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R649,Melrose,Your time,Out on the water,+3,Straight out onto the main river,,
R650,Melrose,Your time,Fishing,+8,Fishing from the garden or close by,,
R651,Melrose,Your time,Fishing,+3,Right on the water,,
R652,Melrose,Your time,Walking and wildlife,+6,"Quiet, with walks from the door",,
R653,Melrose,Your time,Walking and wildlife,+2,A garden to come back to,,
R654,Melrose,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R655,Melrose,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R656,Melrose,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R657,Melrose,Your time,Doing very little,+3,A garden to yourselves,,
R658,Melrose,Where,Wroxham and Hoveton,-5,,,
R659,Melrose,Where,Horning,-5,,,
R660,Melrose,Where,Potter Heigham and the Thurne,+8,"In Potter Heigham and the Thurne, where you asked",,
R661,Melrose,Where,"Reedham, Brundall and the Yare",-5,,,
R662,Melrose,Where,Somewhere quiet and rural,-5,,,
R663,Moon River Cottage,How many,3 or 4,+6,"Sleeps 4, the right size for your party",,
R664,Moon River Cottage,How many,5 or 6,EXCLUDE,"Sleeps 4, not enough beds for 5 to 6",,
R665,Moon River Cottage,How many,7 or 8,EXCLUDE,"Sleeps 4, not enough beds for 7 to 8",,
R666,Moon River Cottage,How many,9 to 12,EXCLUDE,"Sleeps 4, not enough beds for 9 to 12",,
R667,Moon River Cottage,How many,13 or more,EXCLUDE,"Sleeps 4, not enough beds for 13 or more",,
R668,Moon River Cottage,Who's coming,Just the two of us,+4,A cottage sized for a couple,,
R669,Moon River Cottage,Who's coming,Just me,+5,Small enough to feel like your own,,
R670,Moon River Cottage,Who's coming,Family with children,+2,A garden for the children,,
R671,Moon River Cottage,Who's coming,A big get-together,-6,,,
R672,Moon River Cottage,Must have,The dog comes too,+10,Dogs welcome,,
R673,Moon River Cottage,Must have,A mooring for our boat,+10,A mooring at the property,,
R674,Moon River Cottage,Must have,Everything on one level,+10,Everything on one level,,
R675,Moon River Cottage,Must have,A hot tub,-2,,,
R676,Moon River Cottage,Must have,A river view,+8,On the main river,,
R677,Moon River Cottage,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R678,Moon River Cottage,Your time,Out on the water,+3,Straight out onto the main river,,
R679,Moon River Cottage,Your time,Fishing,+8,Fishing from the garden or close by,,
R680,Moon River Cottage,Your time,Fishing,+3,Right on the water,,
R681,Moon River Cottage,Your time,Walking and wildlife,+6,"Quiet, with walks from the door",,
R682,Moon River Cottage,Your time,Walking and wildlife,+2,A garden to come back to,,
R683,Moon River Cottage,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R684,Moon River Cottage,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R685,Moon River Cottage,Your time,Doing very little,+3,A garden to yourselves,,
R686,Moon River Cottage,Where,Wroxham and Hoveton,-5,,,
R687,Moon River Cottage,Where,Horning,-5,,,
R688,Moon River Cottage,Where,Potter Heigham and the Thurne,+8,"In Potter Heigham and the Thurne, where you asked",,
R689,Moon River Cottage,Where,"Reedham, Brundall and the Yare",-5,,,
R690,Moon River Cottage,Where,Somewhere quiet and rural,-5,,,
R691,Owlswick,How many,3 or 4,+2,"Sleeps 6, with a bed or two spare",,
R692,Owlswick,How many,5 or 6,+6,"Sleeps 6, the right size for your party",,
R693,Owlswick,How many,7 or 8,EXCLUDE,"Sleeps 6, not enough beds for 7 to 8",,
R694,Owlswick,How many,9 to 12,EXCLUDE,"Sleeps 6, not enough beds for 9 to 12",,
R695,Owlswick,How many,13 or more,EXCLUDE,"Sleeps 6, not enough beds for 13 or more",,
R696,Owlswick,Who's coming,Just me,-4,,,
R697,Owlswick,Who's coming,Family with children,+2,A garden for the children,,
R698,Owlswick,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R699,Owlswick,Must have,The dog comes too,+10,Dogs welcome,,
R700,Owlswick,Must have,A mooring for our boat,+10,A mooring at the property,,
R701,Owlswick,Must have,Everything on one level,+10,Everything on one level,,
R702,Owlswick,Must have,A hot tub,-2,,,
R703,Owlswick,Must have,A river view,+4,Right by the water,,
R704,Owlswick,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R705,Owlswick,Your time,Fishing,+8,Fishing from the garden or close by,,
R706,Owlswick,Your time,Fishing,+3,Right on the water,,
R707,Owlswick,Your time,Walking and wildlife,+2,A garden to come back to,,
R708,Owlswick,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R709,Owlswick,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R710,Owlswick,Your time,"Pubs, villages and days out",+3,Horning's pubs and river frontage,,
R711,Owlswick,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R712,Owlswick,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R713,Owlswick,Your time,Doing very little,+3,A garden to yourselves,,
R714,Owlswick,Your time,Doing very little,-2,,,
R715,Owlswick,Where,Wroxham and Hoveton,-5,,,
R716,Owlswick,Where,Horning,+8,"In Horning, where you asked",,
R717,Owlswick,Where,Potter Heigham and the Thurne,-5,,,
R718,Owlswick,Where,"Reedham, Brundall and the Yare",-5,,,
R719,Owlswick,Where,Somewhere quiet and rural,-5,,,
R720,Parsley,How many,3 or 4,+6,"Sleeps 4, the right size for your party",,
R721,Parsley,How many,5 or 6,EXCLUDE,"Sleeps 4, not enough beds for 5 to 6",,
R722,Parsley,How many,7 or 8,EXCLUDE,"Sleeps 4, not enough beds for 7 to 8",,
R723,Parsley,How many,9 to 12,EXCLUDE,"Sleeps 4, not enough beds for 9 to 12",,
R724,Parsley,How many,13 or more,EXCLUDE,"Sleeps 4, not enough beds for 13 or more",,
R725,Parsley,Who's coming,Just the two of us,+4,A cottage sized for a couple,,
R726,Parsley,Who's coming,Just me,+5,Small enough to feel like your own,,
R727,Parsley,Who's coming,Family with children,+4,Set up for families,,
R728,Parsley,Who's coming,Family with children,+2,A garden for the children,,
R729,Parsley,Who's coming,A big get-together,-6,,,
R730,Parsley,Must have,The dog comes too,+10,Dogs welcome,,
R731,Parsley,Must have,A mooring for our boat,-8,,,
R732,Parsley,Must have,Everything on one level,+10,Everything on one level,,
R733,Parsley,Must have,A hot tub,+12,Has a hot tub,,
R734,Parsley,Must have,A river view,+4,Right by the water,,
R735,Parsley,Your time,Out on the water,-4,,,
R736,Parsley,Your time,Fishing,+8,Fishing from the garden or close by,,
R737,Parsley,Your time,Fishing,+3,Right on the water,,
R738,Parsley,Your time,Walking and wildlife,+6,"Quiet, with walks from the door",,
R739,Parsley,Your time,Walking and wildlife,+2,A garden to come back to,,
R740,Parsley,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R741,Parsley,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R742,Parsley,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R743,Parsley,Your time,Doing very little,+3,A garden to yourselves,,
R744,Parsley,Your time,Doing very little,+3,A hot tub to sink into,,
R745,Parsley,Where,Wroxham and Hoveton,-5,,,
R746,Parsley,Where,Horning,-5,,,
R747,Parsley,Where,Potter Heigham and the Thurne,+8,"In Potter Heigham and the Thurne, where you asked",,
R748,Parsley,Where,"Reedham, Brundall and the Yare",-5,,,
R749,Parsley,Where,Somewhere quiet and rural,+8,"In the quieter villages, where you asked",,
R750,Patikipa,How many,3 or 4,EXCLUDE,"Sleeps 2, not enough beds for 3 to 4",,
R751,Patikipa,How many,5 or 6,EXCLUDE,"Sleeps 2, not enough beds for 5 to 6",,
R752,Patikipa,How many,7 or 8,EXCLUDE,"Sleeps 2, not enough beds for 7 to 8",,
R753,Patikipa,How many,9 to 12,EXCLUDE,"Sleeps 2, not enough beds for 9 to 12",,
R754,Patikipa,How many,13 or more,EXCLUDE,"Sleeps 2, not enough beds for 13 or more",,
R755,Patikipa,Who's coming,Just the two of us,+8,Made for two,,
R756,Patikipa,Who's coming,Just me,+5,Small enough to feel like your own,,
R757,Patikipa,Who's coming,Just me,+3,Cosy for one,,
R758,Patikipa,Who's coming,Family with children,+4,Set up for families,,
R759,Patikipa,Who's coming,Family with children,+2,A garden for the children,,
R760,Patikipa,Who's coming,Family with children,EXCLUDE,"Sleeps 2, not enough beds for a family",,
